"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Aquatic Mammals","Aquatic Mammals","0.286","Q3","35","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","19"
"Molecular Biology and Evolution","Molecular Biology and Evolution","4.085","Q1","256","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","19"
"Tissue and Cell","Tissue and Cell","0.677","Q2","61","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","19"
"Palaeontologia Electronica","Palaeontologia Electronica","0.617","Q2","49","Earth and Planetary Sciences","Yes","exact","1.0","19"
"Papers and Proceedings of the Royal Society of Tasmania","Papers and Proceedings of the Royal Society of Tasmania","0.109","Q4","13","Multidisciplinary","No","exact","1.0","18"
"Zoology in the Middle East","Zoology in the Middle East","0.249","Q3","27","Agricultural and Biological Sciences","No","exact","1.0","18"
"Zoologischer Anzeiger","Zoologischer Anzeiger","0.597","Q1","49","Agricultural and Biological Sciences","No","exact","1.0","18"
"Zoosystema","Zoosystema","0.418","Q2","32","Agricultural and Biological Sciences","Yes","exact","1.0","18"
"Zoologica Scripta","Zoologica Scripta","0.833","Q1","76","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","18"
"Diseases of Aquatic Organisms","Diseases of Aquatic Organisms","0.357","Q3","114","Agricultural and Biological Sciences","No","exact","1.0","18"
"Oecologia","Oecologia","0.966","Q1","227","Agricultural and Biological Sciences","No","exact","1.0","18"
"Indian Journal of Helminthology","Indian Journal of Rheumatology","0.167","Q4","16","Medicine","Yes","fuzzy","0.8852","18"
"Advances in Marine Biology","Advances in Marine Biology","","-","77","Agricultural and Biological Sciences","No","exact","1.0","18"
"Anais da Academia Brasileira de Ciências","Anais da Academia Brasileira de Ciencias","0.295","Q2","76","Multidisciplinary","Yes","exact","1.0","18"
"Raffles Bulletin of Zoology","Raffles Bulletin of Zoology","0.424","Q2","47","Agricultural and Biological Sciences","No","exact","1.0","18"
"Biological Journal of the Linnean Society","Biological Journal of the Linnean Society","0.64","Q2","129","Agricultural and Biological Sciences","Yes","exact","1.0","18"
"Geodiversitas","Geodiversitas","0.664","Q1","47","Earth and Planetary Sciences","Yes","exact","1.0","18"
"Boletín de Investigaciones Marinas y Costeras","Boletin de Investigaciones Marinas y Costeras","0.169","Q2","18","Agricultural and Biological Sciences; Arts and Humanities; Earth and Planetary Sciences; Environmental Science; Social Sciences","Yes","fuzzy","0.9778","18"
"Journal of Applied Ecology","Journal of Applied Ecology","1.898","Q1","216","Environmental Science","No","exact","1.0","17"
"Journal of Immunology","Journal of Immunology","1.425","Q1","422","Immunology and Microbiology; Medicine","No","exact","1.0","17"
"Swiss Journal of Palaeontology","Swiss Journal of Palaeontology","0.824","Q1","19","Earth and Planetary Sciences","Yes","exact","1.0","17"
"Lethaia","Lethaia","0.64","Q2","68","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","17"
"Fisheries","Fisheries","0.75","Q1","92","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","17"
"Journal of Aquatic Animal Health","Journal of Aquatic Animal Health","0.415","Q2","63","Agricultural and Biological Sciences","No","exact","1.0","17"
"Ecological Indicators","Ecological Indicators","1.959","Q1","204","Agricultural and Biological Sciences; Decision Sciences; Environmental Science","Yes","exact","1.0","17"
"Polar Biology","Polar Biology","0.534","Q2","92","Agricultural and Biological Sciences","No","exact","1.0","17"
"Behaviour","Behaviour","0.412","Q2","88","Agricultural and Biological Sciences; Neuroscience","No","exact","1.0","17"
"Environmental Science and Pollution Research","Environmental Science and Pollution Research","1.004","Q1","212","Environmental Science; Medicine","No","exact","1.0","17"
"Science Advances","Science Advances","4.324","Q1","288","Multidisciplinary","Yes","exact","1.0","17"
"Journal of African Earth Sciences","Journal of African Earth Sciences","0.584","Q2","101","Earth and Planetary Sciences","No","exact","1.0","17"
"International Journal of Molecular Sciences","International Journal of Molecular Sciences","1.273","Q1","314","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine","Yes","exact","1.0","16"
"Conservation Science and Practice","Conservation Science and Practice","1.069","Q1","36","Environmental Science","Yes","exact","1.0","16"
"Canadian Journal of Earth Sciences","Canadian Journal of Earth Sciences","0.614","Q2","89","Earth and Planetary Sciences","No","exact","1.0","16"
"Marine Mammal Science","Marine Mammal Science","0.561","Q2","96","Agricultural and Biological Sciences","No","exact","1.0","16"
"South African Journal of Science","South African Journal of Science","0.592","Q1","72","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences","Yes","exact","1.0","16"
"Journal of Sea Research","Journal of Sea Research","0.651","Q2","92","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","16"
"Records of the Western Australian Museum","Records of the Australian Museum","0.397","Q1","24","Agricultural and Biological Sciences; Arts and Humanities","Yes","fuzzy","0.8889","16"
"Conservation Letters","Conservation Letters","2.405","Q1","115","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","16"
"Peerj","PeerJ","0.625","Q1","124","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience","Yes","exact","1.0","16"
"Microscopy Research and Technique","Microscopy Research and Technique","0.473","Q2","135","Health Professions; Medicine; Physics and Astronomy","No","exact","1.0","16"
"Annales de Paléontologie","Annales de Paleontologie","0.313","Q3","31","Earth and Planetary Sciences","No","exact","1.0","16"
"Diversity and Distributions","Diversity and Distributions","1.79","Q1","147","Agricultural and Biological Sciences","Yes","exact","1.0","16"
"Journal of Fossil Research","Journal of Mosaic Research","0.134","Q2","3","Arts and Humanities","Yes","fuzzy","0.8846","15"
"Animal Cognition","Animal Cognition","0.795","Q1","94","Agricultural and Biological Sciences; Psychology","Yes","exact","1.0","15"
"Environmental Science & Technology","Environmental Science and Technology","3.69","Q1","504","Chemistry; Environmental Science; Medicine","No","exact","1.0","15"
"Developmental Biology","Developmental Biology","1.164","Q2","251","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","15"
"Archives of Environmental Contamination and Toxicology","Archives of Environmental Contamination and Toxicology","1.041","Q1","129","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","15"
"Transactions of the Royal Society of South Australia","Transactions of the Royal Society of South Australia","0.313","Q2","20","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science; Social Sciences","No","exact","1.0","15"
"Zoological Studies","Zoological Studies","0.532","Q2","52","Agricultural and Biological Sciences","Yes","exact","1.0","15"
"FEBS Letters","FEBS Letters","1.222","Q1","289","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","15"
"Italian Journal of Zoology","Italian Journal of Mycology","0.264","Q3","7","Agricultural and Biological Sciences; Environmental Science; Immunology and Microbiology","Yes","fuzzy","0.9057","15"
"Journal of Biogeography","Journal of Biogeography","1.438","Q1","183","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","15"
"Parasite","Parasite","0.65","Q1","58","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine; Veterinary","Yes","exact","1.0","15"
"Russian Journal of Marine Biology","Russian Journal of Marine Biology","0.17","Q4","30","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","15"
"Biochemical and Biophysical Research Communications","Biochemical and Biophysical Research Communications","0.748","Q2","298","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","15"
"African Zoology","African Zoology","0.214","Q3","35","Agricultural and Biological Sciences","Yes","exact","1.0","15"
"Ecological Applications","Ecological Applications","1.778","Q1","246","Environmental Science","No","exact","1.0","14"
"Biodiversity and Conservation","Biodiversity and Conservation","0.907","Q1","160","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","14"
"Sustainability","Sustainability (Switzerland)","0.688","Q1","207","Computer Science; Energy; Environmental Science; Social Sciences","Yes","exact","1.0","14"
"Molecular Immunology","Molecular Immunology","0.894","Q2","154","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","No","exact","1.0","14"
"Paleontological Research","Paleontological Research","0.523","Q2","31","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","14"
"JMBA","Journal of the Marine Biological Association of the United Kingdom","0.355","Q3","81","Agricultural and Biological Sciences","No","alias","1.0","14"
"Revista Brasileira de Biologia","Revista Brasileira de Epidemiologia","0.674","Q2","47","Medicine","Yes","fuzzy","0.8923","14"
"Oryx","Oryx","0.652","Q2","88","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","14"
"Gene","Gene","0.682","Q2","200","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","14"
"Indian Journal of Geo Marine Sciences","Indian Journal of Geo-Marine Sciences","0.176","Q4","43","Earth and Planetary Sciences","Yes","exact","1.0","13"
"Geologica Belgica","Geologica Belgica","0.466","Q2","28","Earth and Planetary Sciences","Yes","exact","1.0","13"
"Comptes Rendus Biologies","Comptes Rendus - Biologies","0.308","Q2","98","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine","Yes","exact","1.0","13"
"Frontiers in Veterinary Science","Frontiers in Veterinary Science","0.783","Q1","85","Veterinary","Yes","exact","1.0","13"
"Cahiers De Biologie Marine","Cahiers de Biologie Marine","0.175","Q4","38","Agricultural and Biological Sciences","No","exact","1.0","13"
"Journal of the Palaeontological Society of India","Journal of the Palaeontological Society of India","0.222","Q4","16","Earth and Planetary Sciences","Yes","exact","1.0","13"
"Revista Brasileira de Zoologia","Revista Brasileira de Entomologia","0.303","Q3","40","Agricultural and Biological Sciences","Yes","fuzzy","0.9206","13"
"Mainzer geowissenschaftliche Mitteilungen","Mainzer Geowissenschaftliche Mitteilungen","0.104","Q4","13","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","13"
"European Zoological Journal","European Zoological Journal","0.411","Q2","47","Agricultural and Biological Sciences","Yes","exact","1.0","13"
"Biochemical Journal","Biochemical Journal","2.064","Q1","298","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","13"
"Aquatic Conservation-Marine and Freshwater Ecosystems","Aquatic Conservation: Marine and Freshwater Ecosystems","0.759","Q1","94","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","13"
"Comptes Rendus de l'Académie des Sciences","Comptes Rendus de L'Academie Bulgare des Sciences","0.154","Q3","23","Multidisciplinary","Yes","fuzzy","0.9091","13"
"Brain Structure & Function","Brain Structure and Function","1.245","Q1","119","Medicine; Neuroscience","No","exact","1.0","13"
"International Journal of Biological Macromolecules","International Journal of Biological Macromolecules","1.285","Q1","219","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Materials Science","No","exact","1.0","13"
"Journal of the Royal Society Interface","Journal of the Royal Society Interface","1.025","Q1","177","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science","Yes","exact","1.0","13"
"Memoirs of the Queensland Museum","Memoirs of the Queensland Museum","0.102","Q4","38","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","13"
"Archives of Biochemistry and Biophysics","Archives of Biochemistry and Biophysics","0.912","Q1","198","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","13"
"Revista Brasileira de Paleontologia","Revista Brasileira de Paleontologia","0.385","Q3","23","Earth and Planetary Sciences","Yes","exact","1.0","12"
"Indian Journal of Parasitology","Indian Journal of Pharmacology","0.385","Q3","72","Medicine; Pharmacology, Toxicology and Pharmaceutics","Yes","fuzzy","0.9","12"
"Revista Mexicana de Ciencias Geológicas","Revista Mexicana de Ciencias Geologicas","0.218","Q3","45","Earth and Planetary Sciences","Yes","fuzzy","0.9744","12"
